# Carnsore Broadband / Model Telecom / Holiday Broadband geofeed
# Last Updated 05/Dec/2025
185.58.17.0/28,GB,GB,GB-FMO,Enniskillen,BT94
45.94.75.0/24,IE,IE-D,Dublin,D24
